Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2017,myvi se 1.5,35400.0,406.0,92189.0,A,"carsome showroom setia spice, pulau pinang 14,555.5 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/c48j400,Perodua
2023,forester l eyesight 2.0,115800.0,1137.0,14200.0,A,"carsome pj automall, selangor 14,748.1 km
          away",compact suv,https://www.carsome.my/buy-car/subaru/forester/2023-subaru-forester-l-eyesight-2.0/cm5g400,Subaru
2018,jazz s i-vtec 1.5,52900.0,611.0,75759.0,A,"carsome showroom kuala terengganu, terengganu 14,461.7 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2018-honda-jazz-s-i-vtec-1.5/cu4o400,Honda
2016,cx-3 skyactiv 2.0,55800.0,711.0,59833.0,A,"carsome showroom kota kinabalu, sabah 13,814.5 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-3/2016-mazda-cx-3-skyactiv-2.0/cl3m400,Mazda
2021,myvi av 1.5,49900.0,460.0,69974.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/cwjd400,Perodua
2018,civic s i-vtec 1.8,74900.0,814.0,99058.0,A,"carsome pj automall, selangor 14,748.1 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/cndp400,Honda
2013,myvi ezi 1.3,23800.0,319.0,80170.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2013-perodua-myvi-ezi-1.3/cjdx400,Perodua
2018,cx-5 skyactiv-g gls 2.0,81800.0,862.0,111579.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/cqyh400,Mazda
2018,serena s-hybrid high-way star 2.0,76000.0,814.0,100916.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",family drive,https://www.carsome.my/buy-car/nissan/serena/2018-nissan-serena-s-hybrid-high-way-star-2.0/cxy8400,Nissan
2021,x50 tgdi flagship 1.5,76900.0,843.0,75278.0,A,"carsome showroom kota kinabalu, sabah 13,814.5 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/cx5y300,Proton
2020,axia gxtra 1.0,34400.0,377.0,68364.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cmgz300,Perodua
