Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2017,Perodua Myvi SE 1.5,"RM
          35,400",RM 406,"92,189 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/c48j400
2023,Subaru Forester L EyeSight 2.0,"RM
          115,800","RM 1,137","14,200 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/subaru/forester/2023-subaru-forester-l-eyesight-2.0/cm5g400
2018,Honda Jazz S i-VTEC 1.5,"RM
          52,900",RM 611,"75,759 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2018-honda-jazz-s-i-vtec-1.5/cu4o400
2016,Mazda CX-3 SKYACTIV 2.0,"RM
          55,800",RM 711,"59,833 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-3/2016-mazda-cx-3-skyactiv-2.0/cl3m400
2021,Perodua Myvi AV 1.5,"RM
          49,900",RM 460,"69,974 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/cwjd400
2019,Mercedes-Benz A250 AMG Line 2.0,"RM
          153,900","RM 1,578","87,349 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/a250/2019-mercedes-benz-a250-amg-line-2.0/ck1t400
2018,Honda Civic S i-VTEC 1.8,"RM
          74,900",RM 814,"99,058 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/cndp400
2013,Perodua Myvi EZi 1.3,"RM
          23,800",RM 319,"80,170 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2013-perodua-myvi-ezi-1.3/cjdx400
2018,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          81,800",RM 862,"111,579 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/cqyh400
2018,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          76,000",RM 814,"100,916 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2018-nissan-serena-s-hybrid-high-way-star-2.0/cxy8400
2021,Proton X50 TGDI Flagship 1.5,"RM
          76,900",RM 843,"75,278 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/cx5y300
